s_0_score,s_10_score,s_11_score,s_12_score,s_1_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,0.496,,,,3.016,,,,,,,
,,,,1.524,,,,2.484,,,,
,,,,3.224,,,1.884,,,,,
,0.5,,,,3.0,,,,,,,
,,,,,,,,0.32,,4.44,,
,,,2.456,1.976,,,,,,,,
1.916,,,,,,,,,1.916,,,
,,,3.0,,,,3.0,,,,,
,,,,,1.096,,,,,0.976,,
,,0.208,,,,,,,,4.668,,
,,,,,,0.0,,,,,5.0,
,,,,,,0.792,,,,4.472,,
3.0,3.0,,,,,,,,,,,
,,2.896,,,,,1.716,,,,,
,3.0,,3.0,,,,,,,,,
,,,,,,,,0.092,4.792,,,
,,,,0.484,3.064,,,,,,,
,3.0,,,,,3.0,,,,,,
,,,,,,,,,2.968,,,1.168
2.088,,,,,,,,,,,2.088,
,,,2.276,,,,,,,2.856,,
,0.496,,,,3.016,,,,,,,
,,,,,,0.072,,,,,,4.952
,,,,,,3.0,3.0,,,,,
,,,,,,,,0.092,4.792,,,
,,,2.524,1.664,,,,,,,,
,,,,,,,,2.628,,,,1.448
,,,,1.352,,,,2.692,,,,
,,0.364,,,,,,,,4.304,,
,,,,,,,,,,4.768,,0.148
,,,,,,0.012,,,,4.992,,
,,,2.572,1.572,,,,,,,,
,,,,1.304,,,,,,,2.464,
,,2.696,,,,,,,,,0.736,
,,,1.692,,,,,,,,1.972,
,,,,0.576,,,,,,2.856,,
,,,3.0,,,3.0,,,,,,
,,,,,5.0,0.0,,,,,,
,,,,,,0.0,,,5.0,,,
,,,,1.32,,,,,2.52,,,
,,,,3.16,,,1.86,,,,,
,,,,,,,,,,,1.952,1.572
,,,,,,,1.268,,,1.668,,
,,,,,2.84,,,0.54,,,,
,,,,,2.776,,,,,,0.556,
,,,,,1.08,,,,0.98,,,
,0.728,,,,,,,,3.268,,,
,,,3.0,,,3.0,,,,,,
,,,,0.52,2.92,,,,,,,
,,,,,,,,1.388,2.208,,,
,0.852,3.332,,,,,,,,,,
,,,,,1.064,,,,0.984,,,
,,,,,,3.0,3.0,,,,,
,,2.26,,,,,,,,,,0.84
,,,,,1.064,,,,0.984,,,
,2.396,,,1.976,,,,,,,,
,,,,,,,,2.616,,,,0.716
,,0.136,,,,,,,,4.756,,
,3.0,,,,,3.0,,,,,,
1.464,,1.484,,,,,,,,,,
,,1.308,,,,,,2.448,,,,
,,,,,,,,3.592,,,0.892,
,,,,,4.856,,,,,0.036,,
,,,,0.64,,,,,,2.86,,
,,2.896,,,,,1.716,,,,,
,,,,1.428,,,,,2.768,,,
,,,1.508,,,,,,1.888,,,
,1.052,,,,,,,2.192,,,,
,4.9,0.04,,,,,,,,,,
2.196,2.216,,,,,,,,,,,
1.424,,,,,,,,,,1.444,,
,,,,,,,,0.572,,2.792,,
,,,,,,,1.268,,,1.668,,
3.0,,,,,,,3.0,,,,,
1.916,,,,,,,,,1.916,,,
,,,,,,,,3.632,,,0.872,
,,,0.536,,2.856,,,,,,,
,,,,,,0.0,,,5.0,,,
2.196,2.216,,,,,,,,,,,
,,,0.56,,,,,,,2.8,,
,,2.564,,1.164,,,,,,,,
,,,,,4.856,,,,,0.036,,
,,,,,2.664,,,,,,,0.584
,,,,,,0.12,,,,,,4.92
,,,2.076,,,,,,,,,1.936
,,,,,5.0,0.0,,,,,,
1.436,,,,,,,,,,1.436,,
,,,,,,,,2.792,,,,0.692
,,,,0.472,3.112,,,,,,,
,,,,,,,,,3.884,,0.644,
,,,2.324,1.904,,,,,,,,
,,2.844,,0.844,,,,,,,,
,1.36,,2.86,,,,,,,,,
,4.848,,,,,0.228,,,,,,
,1.668,,,,,,,,,1.548,,
3.0,,,,,,3.0,,,,,,
,,,,,,3.0,3.0,,,,,
1.628,,,,,,,,,,,1.648,
,1.408,,,,,,,,,,2.228,
,,,,3.148,,,1.908,,,,,
,,,,,2.84,,,0.54,,,,
,,,,,,,1.624,,,,,3.104
,4.328,,,,,1.008,,,,,,
,,0.22,,,,,,,,4.6,,
,1.74,,,,,,,,,,,2.22
,,,,,,,,,1.092,,,1.052
,4.9,0.04,,,,,,,,,,
,,,,,,,,2.892,,,1.132,
,,,,,1.096,,,0.976,,,,
2.288,,,,2.308,,,,,,,,
2.156,,,,2.156,,,,,,,,
,,,2.616,1.696,,,,,,,,
,,,,,,1.368,,,,,4.088,
2.164,,,,,,,,,,,2.184,
,,,,1.62,,,,,,,2.44,
1.884,,,,,,,,,,1.904,,
,,,,,1.096,,,0.976,,,,
,,,,0.596,,,,,2.896,,,
,,2.916,,,,,1.716,,,,,
,,,,,,0.036,,4.976,,,,
,,,0.576,,,,,,2.816,,,
,3.14,,,,,,1.88,,,,,
,,,,,,0.0,,,5.0,,,
,,0.016,,,4.936,,,,,,,
,,4.2,,,,1.2,,,,,,
,,,,,,,1.424,,,2.684,,
,4.976,,,,,0.036,,,,,,
,,,,,,,,1.028,1.068,,,
3.0,,,,,,3.0,,,,,,
,,,,,,,1.728,,,,,3.288
,,,,,,,,1.12,,,,1.14
,,,3.0,,,3.0,,,,,,
,,,,,4.888,,,,,,0.028,
,,2.876,,0.996,,,,,,,,
,,,,,,,1.972,,,,,3.232
,,,,,,,,,1.12,,,1.06
,4.484,,,,,,,,,,0.324,
,,,,0.712,,,,,,2.912,,
3.0,,,3.0,,,,,,,,,
,1.856,,,,,,,,,,,1.636
,,,,,,0.024,,4.984,,,,
,,,,,,,,,,4.824,0.084,
,,,,,,,,,,,1.692,2.432
,,,,0.676,,,,,2.916,,,
,,,2.336,,,,,,,,1.796,
,3.0,,,,,,3.0,,,,,
,,,,0.476,3.096,,,,,,,
0.996,,,,,1.016,,,,,,,
,,,,,,0.744,,,,,,4.504
,,,,,,3.0,3.0,,,,,
,,,0.58,,,,,2.82,,,,
,,,,,3.528,,,,,0.368,,
,1.2,,,,,,,,1.22,,,
,,,,,,,1.508,,,,3.888,
,3.0,,,,,,3.0,,,,,
,1.06,,,,,,,1.08,,,,
,1.652,2.032,,,,,,,,,,
,,,,,1.032,,,,,,,0.992
,,,,,1.016,,,,,,,0.996
,,,,,3.528,,,,,0.368,,
,,,,1.54,,,,,,,2.56,
,,,0.568,,,,,,2.848,,,
,,,,,1.096,,,0.976,,,,
,,,,,,0.0,,,5.0,,,
,,,,,,,,,4.764,,0.084,
,1.012,,,,,,,,1.092,,,
,1.776,1.976,,,,,,,,,,
,,,,,,0.06,,,,4.96,,
,3.0,,3.0,,,,,,,,,
,,,,,,,,1.072,,,,1.132
,,,,,,,,1.072,,,,1.132
,,,,0.632,,,,,,2.892,,
,,,,,,1.368,,,,,4.088,
,,,0.58,,,,,2.82,,,,
