s_0_score,s_10_score,s_11_score,s_12_score,s_13_score,s_14_score,s_15_score,s_16_score,s_17_score,s_18_score,s_19_score,s_1_score,s_20_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,,,0.036,,,,,,,,,,,4.916,,,
2.36,,,,,,,,,,,,,,,,2.38,,,,
,,,,,,,,2.8,,1.06,,,,,,,,,,
,,,,,2.108,,,,,,,,,,,,,,,2.168
,,,2.576,,,,,,,,,,,,,,,,,1.336
,,,,,,,,,,,,,,0.024,,,4.984,,,
,,,,,0.632,,,,3.532,,,,,,,,,,,
,,,,,,,,,,,,2.504,,,,1.264,,,,
,,,,,,,,,,,4.032,,,1.452,,,,,,
,,,,,,1.512,,,,2.732,,,,,,,,,,
3.0,,3.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.064,,4.864,,,,,,,,
2.216,,,,,,,,,,,2.216,,,,,,,,,
,,,,,,,,,,2.608,,,,,,,,,,1.568
,,,,,,,,,,,0.52,,2.92,,,,,,,
,,,,,,,,,,,,,,,1.08,,1.22,,,
,,,,0.088,,,,,,,,,,,,,4.828,,,
,,4.284,,,,,,,,0.384,,,,,,,,,,
,,,,,,,,,5.0,,,,,0.0,,,,,,
,,,,,,,,,,,,,,,,0.976,,2.496,,
,2.812,,,,1.172,,,,,,,,,,,,,,,
,,,2.4,,,,1.7,,,,,,,,,,,,,
,,,,0.428,,,,,,,,,3.288,,,,,,,
2.24,,,,,,,,,,,,2.24,,,,,,,,
,,,,,,,,1.524,,,,,,,,,,,1.784,
,,,,,,,,,,,,1.024,,,,,1.144,,,
,,,4.028,,,0.648,,,,,,,,,,,,,,
,,,,1.78,,,,,,1.94,,,,,,,,,,
2.972,,,,,2.972,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.256,,,,1.496,,,,
,,,2.668,,,,1.368,,,,,,,,,,,,,
0.996,,,,,,,,,,,,,1.016,,,,,,,
,,,,,,,,,,,0.532,,2.872,,,,,,,
,,,,,,,,,,,,,,,,1.56,,,2.2,
,,,,,,,,,2.868,,1.348,,,,,,,,,
,,,,,,,1.916,,,,,,,,,,,,2.536,
,,,,,,2.368,,,,,,,,,,,,,,1.928
,,4.096,,,,,,,,0.456,,,,,,,,,,
,,,,,,,,,,3.592,,,,2.112,,,,,,
,,,1.224,,,,,,,,,2.064,,,,,,,,
,2.228,,,,,,,,,,,,,,,,,,1.568,
,,,,,,,,,,,,,,,,,1.096,,1.056,
,,,2.572,,,,,,,,,,,,,,,,,1.472
,,,,,,,,,,,,,,,,,,0.652,2.552,
,,,0.58,,,,,,,,,,,,,,,2.92,,
,,,2.4,,,,1.7,,,,,,,,,,,,,
0.996,,,,,,,,,,,,,1.016,,,,,,,
,,,1.8,1.82,,,,,,,,,,,,,,,,
,,1.096,,,,,,,,,,,,,1.056,,,,,
,,,,,,,,,,,,,,,1.72,3.06,,,,
