s_0_score,s_10_score,s_11_score,s_12_score,s_1_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
3.0,,,,,,,3.0,,,,,
3.0,,,,,,,3.0,,,,,
1.44,,,,,,,,,1.46,,,
,,1.636,,,,,,2.316,,,,
,,,1.232,,,,,,,,,1.272
,,,2.004,,,,,,1.684,,,
3.0,,,,,,,3.0,,,,,
,,,,,,,,,1.332,,,1.492
,,,,1.58,,,,,,,,2.64
,,,,,,2.988,,,,,,3.008
,4.112,,,,,1.332,,,,,,
,3.56,,,,,,1.88,,,,,
,,1.688,,,,,,2.348,,,,
,1.484,,,,,,,2.104,,,,
,,,,,1.048,,,0.988,,,,
,,,1.16,,,,,,,,,1.14
,,,2.208,,,,,,,1.628,,
,,,,0.484,3.064,,,,,,,
,,,1.388,,,,,,1.328,,,
,2.468,,,1.848,,,,,,,,
,,,5.0,,,0.0,,,,,,
,,,,,,,,,1.332,,,1.492
,,,,,,0.072,,,4.952,,,
,1.628,,,,,,,,,2.188,,
1.72,,,1.72,,,,,,,,,
,0.98,,,,1.08,,,,,,,
,,,,,,,,,1.332,,,1.492
,,,,0.504,2.984,,,,,,,
,1.74,,1.84,,,,,,,,,
,,,,,,0.048,,,,,4.968,
,,,,,,3.0,3.0,,,,,
,,,4.896,,,0.156,,,,,,
1.32,,,,,,,,1.34,,,,
,,2.46,,1.78,,,,,,,,
,,,1.256,,,,,1.516,,,,
3.0,,,,,,,3.0,,,,,
2.232,,,,2.232,,,,,,,,
,,,,,,,1.636,,,3.116,,
1.564,,1.584,,,,,,,,,,
,2.504,,,1.804,,,,,,,,
1.84,,,,,,,,,,,,1.86
,,,,1.428,,,,,,,2.648,
,2.068,1.628,,,,,,,,,,
,1.828,,,,,,,,,,,1.728
1.84,,,,,,,,,,,,1.86
1.84,,,,,,,,,,,,1.86
,,,,,,,,,1.784,1.844,,
,,1.74,,,,,,,2.06,,,
,,,,3.048,,,1.768,,,,,
,,,1.756,,,,,,,,1.796,
,,,,,1.064,,,,,0.984,,
,,,1.756,,,,,,,,1.836,
,,1.628,,,,,,,1.688,,,
1.44,,,,,,,,,1.46,,,
,,,1.732,,,,,,,1.792,,
,2.428,,,1.708,,,,,,,,
,,,,,,0.0,,5.0,,,,
,,,,,,,,,2.152,,1.512,
0.996,,,,,1.016,,,,,,,
,,,,1.328,,,,2.668,,,,
,,1.72,2.08,,,,,,,,,
,,,,,1.032,,,,0.992,,,
,,,4.896,,,0.156,,,,,,
,,,1.756,,,,,,,,1.836,
,,,,,1.064,,,,,0.984,,
,,,,,,,2.284,,3.244,,,
1.44,,,,,,,,,1.46,,,
,,,,,,1.512,,,3.992,,,
3.0,,,,,,,3.0,,,,,
,,,,,,,,1.916,,,,1.596
,1.828,,,,,,,,,,1.708,
,,,,,,,,2.084,,,1.424,
1.992,1.992,,,,,,,,,,,
2.8,,,,,,,,,2.8,,,
,,1.924,,,,,,,1.944,,,
,,1.652,,,,,,,,1.972,,
,1.68,,,,,,,1.96,,,,
,,0.404,,,3.384,,,,,,,
,,,,,,,,,,1.5,,1.42
3.0,,,,,,,3.0,,,,,
,,,,1.876,,,,,,,,2.216
2.344,,,,,,,,2.344,,,,
,2.216,,,1.936,,,,,,,,
2.252,,,,,,,,,,,2.272,
