s_0_history_len,s_0_model_depth,s_0_score,s_1_history_len,s_1_model_depth,s_1_score,s_2_history_len,s_2_model_depth,s_2_score,s_3_history_len,s_3_model_depth,s_3_score
,,,10.0,10.0,1.49,10.0,10.0,2.59,,,
10.0,10.0,2.24,10.0,10.0,2.24,,,,,,
10.0,10.0,2.99,,,,,,,10.0,10.0,2.99
10.0,10.0,2.99,,,,,,,10.0,10.0,2.99
10.0,10.0,2.99,,,,,,,10.0,10.0,2.99
,,,,,,10.0,10.0,1.02,10.0,10.0,2.57
,,,10.0,10.0,1.35,,,,10.0,10.0,2.4
10.0,10.0,2.39,10.0,10.0,2.39,,,,,,
,,,,,,10.0,10.0,1.02,10.0,10.0,2.57
,,,10.0,10.0,1.61,10.0,10.0,2.56,,,
10.0,10.0,2.99,,,,,,,10.0,10.0,2.99
,,,10.0,10.0,1.29,,,,10.0,10.0,2.64
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
10.0,10.0,1.93,,,,10.0,10.0,1.93,,,
,,,10.0,10.0,1.54,10.0,10.0,2.54,,,
10.0,10.0,1.93,,,,10.0,10.0,1.93,,,
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
,,,,,,10.0,10.0,0.65,10.0,10.0,2.5
10.0,10.0,1.93,,,,10.0,10.0,1.93,,,
,,,,,,10.0,10.0,0.62,10.0,10.0,2.62
,,,10.0,10.0,1.77,10.0,10.0,2.37,,,
10.0,10.0,2.28,10.0,10.0,2.28,,,,,,
10.0,10.0,2.23,10.0,10.0,2.23,,,,,,
,,,,,,10.0,10.0,0.65,10.0,10.0,2.5
,,,10.0,10.0,1.01,,,,10.0,10.0,2.81
10.0,10.0,1.93,,,,10.0,10.0,1.93,,,
,,,,,,10.0,10.0,0.65,10.0,10.0,2.5
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
,,,10.0,10.0,0.67,,,,10.0,10.0,2.82
,,,10.0,10.0,0.69,,,,10.0,10.0,3.29
10.0,10.0,2.26,10.0,10.0,2.31,,,,,,
10.0,10.0,2.1,10.0,10.0,2.1,,,,,,
,,,10.0,10.0,0.87,,,,10.0,10.0,2.57
10.0,10.0,1.93,,,,10.0,10.0,1.93,,,
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
,,,,,,10.0,10.0,0.65,10.0,10.0,2.5
10.0,10.0,2.35,10.0,10.0,2.4,,,,,,
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
,,,,,,10.0,10.0,0.65,10.0,10.0,2.5
,,,,,,10.0,10.0,0.65,10.0,10.0,2.5
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
10.0,10.0,2.26,10.0,10.0,2.26,,,,,,
10.0,10.0,2.52,10.0,10.0,2.57,,,,,,
,,,10.0,10.0,1.17,,,,10.0,10.0,2.62
,,,10.0,10.0,1.62,10.0,10.0,2.67,,,
,,,10.0,10.0,0.68,,,,10.0,10.0,3.33
10.0,10.0,1.02,,,,,,,10.0,10.0,1.07
10.0,10.0,2.23,,,,10.0,10.0,2.28,,,
,,,,,,10.0,10.0,0.02,10.0,10.0,4.92
,,,10.0,10.0,1.74,10.0,10.0,2.54,,,
10.0,10.0,2.12,10.0,10.0,2.12,,,,,,
,,,10.0,10.0,1.77,10.0,10.0,2.42,,,
10.0,10.0,1.02,,,,,,,10.0,10.0,1.07
10.0,10.0,2.23,,,,10.0,10.0,2.28,,,
,,,,,,10.0,10.0,0.02,10.0,10.0,4.92
10.0,10.0,2.23,,,,10.0,10.0,2.28,,,
10.0,10.0,2.23,,,,10.0,10.0,2.28,,,
10.0,10.0,2.3,10.0,10.0,2.3,,,,,,
10.0,10.0,2.14,10.0,10.0,2.19,,,,,,
,,,,,,10.0,10.0,0.02,10.0,10.0,4.92
,,,10.0,10.0,1.84,10.0,10.0,2.44,,,
,,,10.0,10.0,1.93,10.0,10.0,2.28,,,
10.0,10.0,2.23,,,,10.0,10.0,2.28,,,
10.0,10.0,2.43,10.0,10.0,2.48,,,,,,
,,,,,,10.0,10.0,0.02,10.0,10.0,4.92
10.0,10.0,1.02,,,,,,,10.0,10.0,1.07
10.0,10.0,1.02,,,,,,,10.0,10.0,1.07
10.0,10.0,2.23,,,,10.0,10.0,2.28,,,
,,,10.0,10.0,1.49,10.0,10.0,2.74,,,
,,,10.0,10.0,1.92,10.0,10.0,2.32,,,
10.0,10.0,2.34,,,,10.0,10.0,2.39,,,
10.0,10.0,2.51,,,,10.0,10.0,2.51,,,
,,,,,,10.0,10.0,0.98,10.0,10.0,1.08
,,,,,,10.0,10.0,0.98,10.0,10.0,1.08
,,,,,,10.0,10.0,0.98,10.0,10.0,1.08
10.0,10.0,2.51,,,,10.0,10.0,2.51,,,
10.0,10.0,2.51,,,,10.0,10.0,2.51,,,
10.0,10.0,2.51,,,,10.0,10.0,2.51,,,
,,,10.0,10.0,2.11,10.0,10.0,1.96,,,
,,,10.0,10.0,0.66,,,,10.0,10.0,2.61
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,2.09,10.0,10.0,2.39,,,
,,,10.0,10.0,1.66,10.0,10.0,2.66,,,
